Date,new_highs,new_lows,net
2023-11-08,0,0,0
2023-11-09,0,0,0
2023-11-10,0,0,0
2023-11-13,0,0,0
2023-11-14,0,0,0
2023-11-15,0,0,0
2023-11-16,0,0,0
2023-11-17,0,0,0
2023-11-20,0,0,0
2023-11-21,0,0,0
2023-11-22,0,0,0
2023-11-23,0,0,0
2023-11-24,0,0,0
2023-11-27,0,0,0
2023-11-28,0,0,0
2023-11-29,0,0,0
2023-11-30,0,0,0
2023-12-01,0,0,0
2023-12-04,0,0,0
2023-12-05,0,0,0
2023-12-06,0,0,0
2023-12-07,0,0,0
2023-12-08,0,0,0
2023-12-11,0,0,0
2023-12-12,0,0,0
2023-12-13,0,0,0
2023-12-14,0,0,0
2023-12-15,0,0,0
2023-12-18,0,0,0
2023-12-19,0,0,0
2023-12-20,0,0,0
2023-12-21,0,0,0
2023-12-22,0,0,0
2023-12-26,0,0,0
2023-12-27,0,0,0
2023-12-28,0,0,0
2024-01-02,0,0,0
2024-01-03,0,0,0
2024-01-04,0,0,0
2024-01-05,0,0,0
2024-01-08,0,0,0
2024-01-09,0,0,0
2024-01-10,9,17,-8
2024-01-11,10,16,-6
2024-01-12,13,24,-11
2024-01-15,12,33,-21
2024-01-16,6,49,-43
2024-01-17,3,104,-101
2024-01-18,9,92,-83
2024-01-19,10,48,-38
2024-01-22,11,73,-62
2024-01-23,8,49,-41
2024-01-24,7,62,-55
2024-01-25,12,60,-48
2024-01-26,16,23,-7
2024-01-29,27,20,7
2024-01-30,28,17,11
2024-01-31,25,29,-4
2024-02-01,58,23,35
2024-02-02,56,6,50
2024-02-05,37,13,24
2024-02-06,22,21,1
2024-02-07,48,10,38
2024-02-08,46,8,38
2024-02-13,49,5,44
2024-02-14,27,8,19
2024-02-15,15,10,5
2024-02-16,38,8,30
2024-02-19,69,7,62
2024-02-20,30,11,19
2024-02-21,21,10,11
2024-02-22,24,13,11
2024-02-23,37,15,22
2024-02-26,13,20,-7
2024-02-27,14,34,-20
2024-02-28,13,17,-4
2024-02-29,19,32,-13
2024-03-04,42,32,10
2024-03-05,33,57,-24
2024-03-06,34,56,-22
2024-03-07,27,61,-34
2024-03-08,26,33,-7
2024-03-11,12,32,-20
2024-03-12,11,38,-27
2024-03-13,21,25,-4
2024-03-14,34,20,14
2024-03-15,23,26,-3
2024-03-18,17,24,-7
2024-03-19,14,40,-26
2024-03-20,17,35,-18
2024-03-21,30,19,11
2024-03-22,29,20,9
2024-03-25,21,29,-8
2024-03-26,24,24,0
2024-03-27,18,26,-8
2024-03-28,18,22,-4
2024-03-29,15,25,-10
2024-04-01,16,11,5
2024-04-02,13,24,-11
2024-04-03,12,37,-25
2024-04-04,23,39,-16
2024-04-05,15,54,-39
2024-04-08,16,71,-55
2024-04-09,18,62,-44
2024-04-11,23,84,-61
2024-04-12,23,66,-43
2024-04-15,22,103,-81
2024-04-16,11,153,-142
2024-04-17,8,96,-88
2024-04-18,21,24,-3
2024-04-19,18,60,-42
2024-04-22,17,24,-7
2024-04-23,18,24,-6
2024-04-24,18,16,2
2024-04-25,17,27,-10
2024-04-26,26,33,-7
2024-04-29,30,14,16
2024-04-30,24,20,4
2024-05-02,25,19,6
2024-05-03,18,20,-2
2024-05-07,28,14,14
2024-05-08,25,8,17
2024-05-09,26,13,13
2024-05-10,38,12,26
2024-05-13,48,16,32
2024-05-14,23,10,13
2024-05-16,48,14,34
2024-05-17,34,19,15
2024-05-20,43,24,19
2024-05-21,39,35,4
2024-05-22,39,29,10
2024-05-23,24,31,-7
2024-05-24,21,41,-20
2024-05-27,32,38,-6
2024-05-28,32,30,2
2024-05-29,18,53,-35
2024-05-30,16,65,-49
2024-05-31,21,46,-25
2024-06-03,29,22,7
2024-06-04,19,32,-13
2024-06-05,16,24,-8
2024-06-07,15,30,-15
2024-06-10,29,41,-12
2024-06-11,19,41,-22
2024-06-12,27,32,-5
2024-06-13,34,40,-6
2024-06-14,45,51,-6
2024-06-17,32,55,-23
2024-06-18,38,57,-19
2024-06-19,25,72,-47
2024-06-20,28,42,-14
2024-06-21,22,62,-40
2024-06-24,19,83,-64
2024-06-25,25,50,-25
2024-06-26,23,59,-36
2024-06-27,24,76,-52
2024-06-28,25,42,-17
2024-07-01,19,31,-12
2024-07-02,8,75,-67
2024-07-03,13,102,-89
2024-07-04,19,80,-61
2024-07-05,21,60,-39
2024-07-08,19,41,-22
2024-07-09,23,32,-9
2024-07-10,22,34,-12
2024-07-11,28,36,-8
2024-07-12,15,25,-10
2024-07-15,23,28,-5
2024-07-16,27,43,-16
2024-07-17,27,43,-16
2024-07-18,17,62,-45
2024-07-19,9,62,-53
2024-07-22,11,97,-86
2024-07-23,19,97,-78
2024-07-24,24,99,-75
2024-07-25,11,124,-113
2024-07-26,31,61,-30
2024-07-29,36,38,-2
2024-07-30,25,90,-65
2024-07-31,28,48,-20
2024-08-01,39,16,23
2024-08-02,6,114,-108
2024-08-05,6,393,-387
2024-08-06,7,38,-31
2024-08-07,14,17,-3
2024-08-08,14,34,-20
2024-08-09,12,15,-3
2024-08-12,17,11,6
2024-08-13,15,17,-2
2024-08-14,14,12,2
2024-08-16,17,16,1
2024-08-19,25,22,3
2024-08-20,31,13,18
2024-08-21,32,12,20
2024-08-22,17,14,3
2024-08-23,36,12,24
2024-08-26,35,16,19
2024-08-27,21,16,5
2024-08-28,16,19,-3
2024-08-29,15,20,-5
2024-08-30,14,14,0
2024-09-02,8,18,-10
2024-09-03,16,18,-2
2024-09-04,9,69,-60
2024-09-05,9,64,-55
2024-09-06,9,123,-114
2024-09-09,7,70,-63
2024-09-10,8,79,-71
2024-09-11,6,86,-80
2024-09-12,9,14,-5
2024-09-13,14,15,-1
2024-09-19,18,24,-6
2024-09-20,25,20,5
2024-09-23,14,22,-8
2024-09-24,14,11,3
2024-09-25,9,15,-6
2024-09-26,10,7,3
2024-09-27,9,11,-2
2024-09-30,6,20,-14
2024-10-02,9,29,-20
2024-10-04,13,19,-6
2024-10-07,13,11,2
2024-10-08,8,21,-13
2024-10-10,21,24,-3
2024-10-11,21,29,-8
2024-10-14,16,22,-6
2024-10-15,19,22,-3
2024-10-16,23,35,-12
2024-10-17,19,30,-11
2024-10-18,16,48,-32
2024-10-21,22,44,-22
2024-10-22,19,81,-62
2024-10-23,13,61,-48
2024-10-24,14,98,-84
2024-10-25,18,128,-110
2024-10-28,12,38,-26
2024-10-29,11,42,-31
2024-10-30,17,38,-21
2024-10-31,16,34,-18
2024-11-01,8,50,-42
2024-11-04,13,24,-11
2024-11-05,14,16,-2
2024-11-06,14,49,-35
2024-11-07,11,59,-48
2024-11-08,16,55,-39
2024-11-11,17,141,-124
2024-11-12,11,232,-221
2024-11-13,6,292,-286
2024-11-14,12,221,-209
2024-11-15,8,141,-133
2024-11-18,9,62,-53
2024-11-19,11,61,-50
2024-11-20,16,65,-49
2024-11-21,7,61,-54
2024-11-22,15,43,-28
2024-11-25,16,28,-12
2024-11-26,15,38,-23
2024-11-27,27,42,-15
2024-11-28,19,28,-9
2024-11-29,12,88,-76
2024-12-02,12,134,-122
2024-12-03,28,41,-13
2024-12-04,14,129,-115
2024-12-05,14,183,-169
2024-12-06,11,218,-207
2024-12-09,10,404,-394
2024-12-10,15,17,-2
2024-12-11,23,11,12
2024-12-12,17,9,8
2024-12-13,22,6,16
2024-12-16,13,9,4
2024-12-17,12,10,2
2024-12-18,16,8,8
2024-12-19,14,11,3
2024-12-20,10,25,-15
2024-12-23,16,7,9
2024-12-24,13,11,2
2024-12-26,15,25,-10
2024-12-27,5,42,-37
2024-12-30,8,35,-27
2025-01-02,14,50,-36
2025-01-03,13,11,2
2025-01-06,9,8,1
2025-01-07,13,11,2
2025-01-08,16,16,0
2025-01-09,16,17,-1
2025-01-10,17,17,0
2025-01-13,14,38,-24
2025-01-14,9,27,-18
2025-01-15,14,40,-26
2025-01-16,14,29,-15
2025-01-17,15,30,-15
2025-01-20,10,30,-20
2025-01-21,17,36,-19
2025-01-22,18,35,-17
2025-01-23,16,55,-39
2025-01-24,19,44,-25
2025-01-31,15,46,-31
2025-02-03,8,129,-121
2025-02-04,11,48,-37
2025-02-05,14,22,-8
2025-02-06,21,14,7
2025-02-07,16,24,-8
2025-02-10,15,37,-22
2025-02-11,16,35,-19
2025-02-12,25,44,-19
2025-02-13,21,31,-10
2025-02-14,27,27,0
2025-02-17,31,20,11
2025-02-18,33,20,13
2025-02-19,25,12,13
2025-02-20,25,10,15
2025-02-21,28,8,20
2025-02-24,21,10,11
2025-02-25,26,12,14
2025-02-26,23,11,12
2025-02-27,18,12,6
2025-02-28,9,52,-43
2025-03-04,14,59,-45
2025-03-05,24,22,2
2025-03-06,27,22,5
2025-03-07,22,33,-11
2025-03-10,23,28,-5
2025-03-11,13,56,-43
2025-03-12,17,36,-19
2025-03-13,23,36,-13
2025-03-14,15,31,-16
2025-03-17,24,33,-9
2025-03-18,19,29,-10
2025-03-19,18,24,-6
2025-03-20,18,28,-10
2025-03-21,13,43,-30
2025-03-24,12,35,-23
2025-03-25,14,41,-27
2025-03-26,14,32,-18
2025-03-27,8,55,-47
2025-03-28,9,92,-83
2025-03-31,6,151,-145
2025-04-01,12,51,-39
2025-04-02,15,104,-89
2025-04-03,9,131,-122
2025-04-04,19,50,-31
2025-04-07,16,240,-224
2025-04-08,19,132,-113
2025-04-09,10,226,-216
2025-04-10,16,15,1
2025-04-11,20,17,3
2025-04-14,22,19,3
2025-04-15,25,16,9
2025-04-16,17,18,-1
2025-04-17,22,15,7
2025-04-18,25,15,10
2025-04-21,34,17,17
2025-04-22,31,19,12
2025-04-23,26,14,12
2025-04-24,33,14,19
2025-04-25,40,14,26
2025-04-28,43,14,29
2025-04-29,51,14,37
2025-04-30,42,17,25
2025-05-02,42,15,27
2025-05-07,51,19,32
2025-05-08,45,16,29
2025-05-09,45,17,28
2025-05-12,59,15,44
2025-05-13,55,17,38
2025-05-14,70,15,55
2025-05-15,45,20,25
2025-05-16,54,27,27
2025-05-19,35,24,11
2025-05-20,54,35,19
2025-05-21,73,32,41
2025-05-22,32,44,-12
2025-05-23,65,43,22
2025-05-26,81,22,59
2025-05-27,59,28,31
2025-05-28,61,16,45
2025-05-29,113,15,98
2025-05-30,75,17,58
2025-06-02,57,17,40
2025-06-04,159,14,145
2025-06-05,91,13,78
2025-06-09,147,13,134
2025-06-10,98,13,85
2025-06-11,108,13,95
2025-06-12,108,13,95
2025-06-13,49,15,34
2025-06-16,116,17,99
2025-06-17,69,16,53
2025-06-18,66,15,51
2025-06-19,65,19,46
2025-06-20,54,15,39
2025-06-23,72,24,48
2025-06-24,101,17,84
2025-06-25,74,15,59
2025-06-26,42,18,24
2025-06-27,35,20,15
2025-06-30,49,18,31
2025-07-01,98,17,81
2025-07-02,59,18,41
2025-07-03,68,14,54
2025-07-04,37,15,22
2025-07-07,45,17,28
2025-07-08,91,19,72
2025-07-09,150,14,136
2025-07-10,155,14,141
2025-07-11,119,14,105
2025-07-14,160,14,146
2025-07-15,83,15,68
2025-07-16,47,15,32
2025-07-17,48,14,34
2025-07-18,23,15,8
2025-07-21,25,15,10
2025-07-22,22,15,7
2025-07-23,25,16,9
2025-07-24,25,17,8
2025-07-25,22,22,0
2025-07-28,25,22,3
2025-07-29,28,22,6
2025-07-30,20,21,-1
2025-07-31,20,18,2
2025-08-01,12,36,-24
2025-08-04,20,22,-2
2025-08-05,26,16,10
2025-08-06,22,18,4
2025-08-07,22,19,3
2025-08-08,30,16,14
2025-08-11,25,15,10
2025-08-12,16,18,-2
2025-08-13,24,19,5
2025-08-14,24,20,4
2025-08-18,23,29,-6
2025-08-19,20,28,-8
2025-08-20,18,34,-16
2025-08-21,21,22,-1
2025-08-22,23,24,-1
2025-08-25,27,21,6
2025-08-26,23,27,-4
2025-08-27,28,28,0
2025-08-28,28,25,3
2025-08-29,37,31,6
2025-09-01,21,41,-20
2025-09-02,20,33,-13
2025-09-03,22,26,-4
2025-09-04,23,19,4
2025-09-05,25,21,4
2025-09-08,39,16,23
2025-09-09,39,17,22
2025-09-10,40,16,24
2025-09-11,53,16,37
2025-09-12,41,17,24
2025-09-15,47,15,32
2025-09-16,41,22,19
2025-09-17,31,21,10
2025-09-18,44,18,26
2025-09-19,37,22,15
2025-09-22,34,25,9
2025-09-23,27,32,-5
2025-09-24,25,36,-11
2025-09-25,19,30,-11
2025-09-26,11,45,-34
2025-09-29,22,31,-9
2025-09-30,22,34,-12
2025-10-01,26,32,-6
2025-10-02,37,24,13
2025-10-10,43,42,1
2025-10-13,24,41,-17
2025-10-14,18,33,-15
2025-10-15,28,21,7
2025-10-16,36,22,14
2025-10-17,29,33,-4
2025-10-20,41,28,13
2025-10-21,35,23,12
2025-10-22,46,23,23
2025-10-23,34,29,5
2025-10-24,52,28,24
2025-10-27,64,30,34
2025-10-28,46,29,17
2025-10-29,58,33,25
2025-10-30,39,43,-4
2025-10-31,42,52,-10
2025-11-03,54,71,-17
2025-11-04,30,49,-19
2025-11-05,17,69,-52
2025-11-06,30,39,-9
2025-11-07,18,56,-38
2025-11-10,41,21,20
2025-11-11,38,27,11
2025-11-12,55,16,39
2025-11-13,41,15,26
2025-11-14,25,22,3
2025-11-17,36,32,4
2025-11-18,19,64,-45
2025-11-19,28,55,-27
2025-11-20,32,25,7
2025-11-21,25,40,-15
2025-11-24,17,44,-27
2025-11-25,26,48,-22
2025-11-26,33,19,14
2025-11-27,35,27,8
2025-11-28,27,26,1
2025-12-01,30,25,5
2025-12-02,42,24,18
2025-12-03,51,21,30
2025-12-04,48,21,27
2025-12-05,53,19,34
2025-12-08,47,20,27
2025-12-09,40,23,17
2025-12-10,29,26,3
2025-12-11,44,26,18
2025-12-12,49,24,25
2025-12-15,41,23,18
2025-12-16,28,26,2
2025-12-17,35,25,10
2025-12-18,27,30,-3
2025-12-19,29,24,5
2025-12-22,36,20,16
2025-12-23,31,29,2
2025-12-24,24,31,-7
2025-12-26,31,40,-9
2025-12-29,33,37,-4
2025-12-30,30,47,-17
2026-01-02,34,34,0
2026-01-05,34,41,-7
2026-01-06,40,44,-4
2026-01-07,35,71,-36
2026-01-08,29,87,-58
2026-01-09,32,45,-13
2026-01-12,35,36,-1
2026-01-13,57,38,19
2026-01-14,49,27,22
2026-01-15,54,34,20
2026-01-16,55,39,16
